Seg,CX,CY,Area,Peri,Dia,Asy,Cir,Bord,Comp,label
1.0,44.0,35.0,2787.5,213.63960909843445,68.0,1.2592592592592593,0.24429316607392826,16.373769533894844,1.3029831791834219,M
1.0,62.0,51.0,3638.5,251.9827550649643,72.0,0.9027777777777778,0.229213783877362,17.450957496256642,1.388703073607905,B
1.0,48.0,36.0,3915.5,255.9827550649643,70.0,0.9857142857142858,0.2390153548081062,16.73532649486643,1.3317549679573775,B
1.0,85.0,52.0,6435.0,346.5096663236618,102.0,1.146067415730337,0.21437682469367644,18.6587333109146,1.4848148191327326,M
1.0,73.0,63.0,6445.5,338.7523068189621,98.0,0.9489795918367347,0.22467361926491844,17.803603347322664,1.4167657387869081,B
1.0,53.0,32.0,3283.5,224.46803629398346,68.0,1.1333333333333333,0.26066816664701564,15.34518023988947,1.2211306439072427,B
1.0,45.0,41.0,4280.0,282.7106763124466,79.0,1.025974025974026,0.214199938235811,18.67414170585069,1.4860409802423278,M
1.0,54.0,32.0,2913.5,209.63960909843445,65.0,0.8461538461538461,0.26517240731562175,15.084525726083543,1.2003884167515289,B
1.0,34.0,32.0,1876.5,258.18376553058624,72.0,1.44,0.1126031912664307,35.52297190703583,2.8268282861596425,M
1.0,43.0,34.0,2807.5,213.63960886001587,72.0,1.44,0.2460459427025496,16.257126437706347,1.2937010165154503,B
1.0,110.0,82.0,10989.5,422.20815122127533,119.0,1.0258620689655173,0.24659524468370295,16.22091295852289,1.2908192394061493,M
1.0,77.0,72.0,4634.5,317.78174436092377,87.0,0.9540229885057471,0.18357138668686665,21.789888240170786,1.7339842114215704,M
1.0,48.0,26.0,1718.5,181.35533845424652,54.0,0.8518518518518519,0.20900122876414853,19.1386434599094,1.5230048553589777,M
1.0,46.0,36.0,1892.5,176.18376564979553,49.0,0.9591836734693877,0.24387321479476842,16.40196527267745,1.3052269247841117,M
1.0,51.0,37.0,1137.0,128.7695517539978,38.0,1.0555555555555556,0.274279966768335,14.583638926055867,1.1605291116745855,B
1.0,83.0,58.0,6891.5,331.9238797426224,93.0,1.0,0.25020544433978953,15.98686235846983,1.272194084440115,B
1.0,53.0,38.0,1667.0,155.39696860313416,49.0,1.1395348837209303,0.27612803732064517,14.486033503925293,1.1527619189722598,B
1.0,45.0,36.0,1659.5,168.18376541137695,50.0,0.88,0.2346762311978438,17.04475983606452,1.3563788908619363,M
1.0,39.0,32.0,1949.0,187.25483298301697,56.0,1.1428571428571428,0.22233393754437555,17.990955605693987,1.4316747577965208,M
1.0,24.0,36.0,958.5,119.6984840631485,35.0,0.9428571428571428,0.26759303668440737,14.948072078263761,1.1895297804748093,B
1.0,43.0,37.0,2737.0,235.25483310222626,67.0,0.9104477611940298,0.19781429836556236,20.220985202030082,1.6091348745455778,M
1.0,41.0,32.0,2865.0,224.56854140758514,66.0,0.9090909090909091,0.22724104678679896,17.602453678858737,1.400758756768243,M
1.0,146.0,90.0,14622.0,517.2792179584503,140.0,0.9785714285714285,0.21858316471661504,18.299670997928185,1.456241548137834,M
